District Name;District ID;PO Group;Purchase Order Number;PO Start Date;PO Expiry Date;License Type;Total License Count;Redeemed Count;Product Titles;Number of Users Assigned
Rowland Unified School District;63286;Active PO;PO25-01003_Reportersfrancophones1-3;2024-08-16;2025-09-19;User;765;2;"Reporters francophones 3; Reporters francophones 1; Reporters francophones 2";32
Rowland Unified School District;63286;Active PO;PO 25-01550_Reportersfrancophones1_students;2024-09-13;2025-10-17;User;300;1;Reporters francophones 1;3
Rowland Unified School District;63286;Active PO;PO 25-01550_Reportersfrancophones3_teachers;2024-09-13;2027-09-17;User;10;1;Reporters francophones 3;3
Rowland Unified School District;63286;Active PO;PO 25-01553_Reportersfrancophones1_students;2024-09-13;2025-10-17;User;150;1;Reporters francophones 1;3
Rowland Unified School District;63286;Expired PO;Rowland Unified School District (CA) DEMO;2024-03-29;2024-07-06;User;5;1;"Reporters francophones 1; Reporters francophones 2; Reporters francophones 3 - Sample unit";2
Rowland Unified School District;63286;Expired PO;RowlandUSD_PILOT_ReportersFrancophones1-2;2023-12-27;2024-08-19;User;165;3;"Reporters francophones 1; Reporters francophones 2";64
South-Western City School District;68783;Active PO;PO#2500700_South-WestCSD_ReporterosSeries;;2031-09-01;User;;;;0
South-Western City School District;68783;Active PO;PO#2500700_South-WestCSD_ReporterosReaders;;2031-09-01;User;;;;0
Milford Area Public Schools;61851;Active PO;PO105255_MilfordHS2024-2025_Reporteros2-3;2024-08-12;2025-08-12;User;21;2;"Reporteros 2 ; Reporteros 3";4
Milford Area Public Schools;61851;Active PO;PO105255_MilfordHS2024-2025_ReportersFrancophones1;2024-08-12;2025-08-12;User;25;2;Reporters francophones 1;11
Milford Area Public Schools;61851;Active PO;PO_2002500077__reporteros3;2024-08-27;2025-09-30;User;4;1;Reporteros 3;2
Milford Area Public Schools;61851;Active PO;MilfordHS_Reporteros1_Teacher-Only-Access2024-2025;2024-11-13;2025-12-17;User;5;2;Reporteros 1;4
Milford Area Public Schools;61851;Expired PO;MilfordHS_Reporteros1_2;2023-10-04;2024-11-06;User;100;2;"Reporteros 1; Reporteros 2 ; Reporteros 3";52
Ogden City School District;68387;Active PO;KSO4355000002108430_Reporteros1-4;2024-07-30;2025-09-02;User;7754;6;"Reporteros 1; Reporteros 2 ; Reporteros 3; Reporteros 4";454
Ogden City School District;68387;Active PO;KSO4355000002108430_Readers;2024-07-30;2025-09-02;User;1885;6;"Todo para todos; Un gol fantástico";66
Ogden City School District;68387;Active PO;KSO4355000002108430_Mapas3-4;2024-07-30;2025-09-02;User;250;3;"Mapas 3; Mapas 4";38
