districtId,districtName,schoolId,schoolName,studentcount,teachercount,purchaseOrderNumber,startDate,expiryDate,totalLicenseCount,licenseConsumeCount,productTitles
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,The Browning School (NY),2025-04-22,2025-10-31,3,2,"En busca de la verdad, Me despierto y bailo, Mi año de intercambio, Reporteros 1, Reporteros 2 , Reporteros 3, Reporteros 4, Reporters francophones 1, Reporters francophones 2, Reporters francophones 3, Reporters francophones 4, Todo para todos, Un gol fantástico"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,The Bryn Mawr School (MD),2025-04-01,2025-10-30,3,2,"Reporteros 1, Reporteros 2 , Reporteros 3, Reporteros 4"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,The Calhoun School (NY) demo,2025-04-28,2025-08-05,3,2,"Alba y Gael 1, Alba y Gael 2, Alba y Gael 3, Alba y Gael inicial 1 - Sample pages"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,The Citadel (SC) DEMO,2025-03-24,2026-04-27,3,2,"ID1 LERNEN (before-class), ID1 MACHEN (In-Class), ID1 ZEIGEN (after-class)"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,The College of New Jersey (NJ),2025-04-10,2025-10-26,3,2,"Proyectos 1, Proyectos 2"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,The Covenant School of Dallas (TX) demo,2025-04-04,2025-10-20,3,2,"Alba y Gael inicial 1 - Sample pages, Mapas 1, Mapas 2, Mapas 3, Mapas 4, Reporteros 1, Reporteros 2 , Reporteros 3, Reporteros 4"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,The Crescent School (ON) DEMO ,2025-04-21,2025-07-29,3,2,"Reporters francophones 1 - Canadian Edition, Reporters francophones 2 - Canadian Edition, Reporters francophones 3 - Canadian Edition, Reporters francophones 4 - Sample Unit"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,The Dunham School (LA)_DEMO,2025-03-20,2025-10-05,3,2,"Generación AP®, Reporteros 1, Reporteros 2 , Reporteros 3, Reporteros 4, Reporters francophones 1, Reporters francophones 2, Reporters francophones 3, Reporters francophones 4 - Sample Unit"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,The Greene School (FL) demo,2025-07-15,2025-10-22,3,2,"Generación AP®, Mapas 1, Mapas 2, Mapas 3, Mapas 4, Reporteros 1 - Florida Standards Edition, Reporteros 2 - Florida Standards Edition, Reporteros 3 - Florida Standards Edition, Reporteros 4 - Florida Standards Edition"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,The Hill School (PA),2025-04-24,2025-08-01,3,2,"En busca de la verdad, Generación AP® - Sample Unit, Me despierto y bailo, Mi año de intercambio, Reporteros 1, Reporteros 2 , Reporteros 3, Reporteros 4, Todo para todos, Un gol fantástico"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,The Kaust School (Saudi Arabia),2025-04-08,2025-08-13,3,2,"Reporteros 1, Reporteros 2 , Reporteros 3, Reporteros 4, Reporters francophones 1, Reporters francophones 2, Reporters francophones 3, Reporters francophones 4"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,The Lexington School (KY)_Demo,2025-02-24,2025-09-11,3,2,"Reporters francophones 1, Reporters francophones 1A, Reporters francophones 1B, Reporters francophones 2, Reporters francophones 3"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,The New School (NY)_DEMO,2024-12-16,2026-01-19,3,2,"Aula en acción 1, Aula en acción 2, Davvero 1, Davvero 2, Proyectos 1, Proyectos 2"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,The Ohio State University (OH)_DEMO,2025-03-10,2025-09-25,3,2,"ID1 LERNEN (before-class), ID1 MACHEN (In-Class), ID1 ZEIGEN (after-class), ID2 LERNEN (before-class), ID2 MACHEN (in-class), ID2 ZEIGEN (after-class)"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,The Pembroke Hill School (MO),2025-05-12,2025-08-19,3,2,"24 horas en Barcelona, 24 horas en Bogotá, 24 horas en Buenos Aires, 24 horas en Ciudad de México, En busca de la verdad, Generación AP® - Sample Unit, Mapas 1, Mapas 2, Mapas 3, Mapas 4, Me despierto y bailo, Mi año de intercambio, Reporteros 1, Reporteros 2 , Reporteros 3, Reporteros 4, Todo para todos, Un gol fantástico"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,The Spanish Learning Nook (MI) demo,2025-07-10,2025-10-17,3,2,"Alba y Gael 1, Alba y Gael 2, Alba y Gael 3, Alba y Gael Inicial 1, Alba y Gael Inicial 2"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,The Stanley Clark School (IN) _DEMO,2025-02-14,2025-09-01,3,3,"Reporters francophones 1A, Reporters francophones 1B, Reporters francophones 2, Reporters francophones 3, Reporters francophones 4 - Sample Unit"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,The Westminster School (GA)_DEMO,2024-02-27,2025-09-22,5,2,"24 heures à Bruxelles, 24 heures à la Réunion, 24 heures à Montréal, 24 heures à Paris, 24 heures en Bretagne, 24 heures en Provence, 24 horas en Barcelona, 24 horas en Bogotá, 24 horas en Buenos Aires, 24 horas en Ciudad de México, Défi francophone 1, Défi francophone 2, En busca de la verdad, Generación AP® - Sample Unit, Me despierto y bailo, Mi año de intercambio, Reporteros 1, Reporteros 2 , Reporteros 3, Reporteros 4, Reporters francophones 1, Reporters francophones 2, Reporters francophones 3, Reporters francophones 4 - Sample Unit, Todo para todos, Un gol fantástico"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,The Winston School (TX),2025-04-07,2025-10-23,3,2,"En busca de la verdad, Me despierto y bailo, Mi año de intercambio, Reporteros 1, Reporteros 2 , Reporteros 3, Reporteros 4, Todo para todos, Un gol fantástico"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,The Woodstock Academy (CT)_DEMO,2024-12-04,2025-09-02,3,2,"Mapas 1, Mapas 2, Mapas 3, Mapas 4, Reporteros 1, Reporteros 2 , Reporteros 3, Reporteros 4"
__NO_DISTRICT__,No Parent District,77192,The Ohio State University (OH),,,The_Ohio_State_University_2025_2026_prof,2025-04-03,2026-07-31,1000,17,"ID1 LERNEN (before-class), ID1 MACHEN (In-Class), ID1 MACHEN (In-Class) - Instructor's Edition, ID1 ZEIGEN (after-class), ID2 LERNEN (before-class), ID2 MACHEN (in-class), ID2 MACHEN (In-Class) - Instructor's Edition, ID2 ZEIGEN (after-class)"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,THEBARSTOWSCHOOL-DEMO,2023-12-01,2026-01-16,3,2,"Generación AP®, Reporteros 1, Reporteros 2 "
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,THEGREGORYSCHOOL_DEMO,2024-07-02,2025-09-30,3,2,"Reporters francophones 1, Reporters francophones 2, Reporters francophones 3, Reporters francophones 4"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,THEPECKSCHOOL_DEMO,2023-08-04,2025-10-31,3,2,"Cap sur 1, Cap sur 2, Cap sur 3, Reporters francophones 1, Reporters francophones 1A, Reporters francophones 1B"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,THEUNIVERSITYOFOKLAHOMA_DEMO,2024-04-08,2026-01-02,4,2,"ID1 LERNEN (before-class), ID1 MACHEN (In-Class), ID1 MACHEN (In-Class) - Instructor's Edition, ID1 ZEIGEN (after-class), ID2 LERNEN (before-class), ID2 MACHEN (in-class), ID2 MACHEN (In-Class) - Instructor's Edition, ID2 ZEIGEN (after-class)"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,Thornton Township High School (IL) DEMO,2025-07-11,2025-10-18,3,2,"Défi francophone 1, Défi francophone 2, Reporters francophones 1, Reporters francophones 2, Reporters francophones 3, Reporters francophones 4"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,Toms River Regional Schools (NJ),2025-06-02,2025-09-09,3,2,"En busca de la verdad, Me despierto y bailo, Mi año de intercambio, Reporteros 1, Reporteros 2 , Reporteros 3, Reporteros 4, Todo para todos, Un gol fantástico"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,Totino Grace High School (MN),2025-04-08,2025-10-24,3,2,"Défi francophone 1, Défi francophone 2, Generación AP®, Reporteros 1, Reporteros 2 , Reporteros 3, Reporteros 4, Reporters francophones 1, Reporters francophones 2, Reporters francophones 3, Reporters francophones 4"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,Tower Hill School (DE) _DEMO,2025-03-11,2025-08-12,3,2,"Reporters francophones 1, Reporters francophones 2, Reporters francophones 3, Reporters francophones 4 - Sample Unit"
__NO_DISTRICT__,No Parent District,56035,Township High School District 214,,,Township HS District 214 (IL) DEMO RF1-3,2024-06-04,2025-09-11,7,6,"Klasse! A1 - The KWL Hub for Teachers, Klasse! A2 - The KWL Hub for Teachers, Klasse! B1 - The KWL Hub for Teachers, Portfolio Deutsch Neu, Level 1 - Teacher's Manual, Portfolio Deutsch Neu, Level 2 - Teacher’s Manual, Portfolio Deutsch Neu, Level 3/4 - Teacher's Manual, Reporters francophones 1, Reporters francophones 2, Reporters francophones 3, Reporters francophones 3 - Sample unit"
