school_name,school_id
Europe - West - Alconbury Elementary School,71579
Europe - West - Lakenheath Middle School,71578
Europe - Central - Wiesbaden Middle School,71586
Europe - West - Feltwell Elementary School,71580
Europe - West - Alconbury Middle/High School,71577
Europe - West - SHAPE Elementary School,71576
Europe - Central - Wiesbaden High School,71585
Europe - Central - Baumholder Middle/High School,71584
Europe - West - Liberty Intermediate School,71583
Europe - West - Lakenheath Elementary School,71582
Europe - West - AFNorth Elementary School,71575
Europe - West - Kleine Brogel Elementary School,71581
DoDEA Virtual High School,71574
Jesse Bethel High School,71504
BELTON HIGH SCHOOL,71982
Vallejo High School,71503
LAKE BELTON HIGH SCHOOL,71983
Europe - West - AFNorth Middle/High School,70763
Europe - West - Brussels Unit School,70764
Europe - West - SHAPE High School,70765
Europe - West - SHAPE Middle School,70766
Europe - West - Lakenheath High School,70767
Franklin Towne Charter High School,71206
eAchieve Academy - Wisconsin,71166
Waukesha STEM Academy - Saratoga,71329
East Alternative School,71330
Academy Of Health Professions,71165
South High School,71164
Les Paul Middle School,73472
Bethesda Elementary School,71874
eAchieve Elementary,71875
SDW Elementary Summer Academy,71167
Waukesha Eng Preparatory Academy,71163
Horning Middle School,71162
West High School,71161
Butler Middle School,71160
North High School,71159
School District of Waukesha,71158
Thompson Campus,70665
St Charles North High School,70664
Wredling Middle School,70666
St Charles East High School,70663
SOUTH KITSAP HIGH SCHOOL,70640
Sand Hill ES,68118
Lyons Township High School D204,70497
South Effingham MS,68123
Effingham County HS,68122
South Effingham ES,68121
South Effingham HS,68120
Marlow ES,68119
College & Career + STEM Academy,68912
Blandford ES,68117
Ebenezer MS,68114
Guyton ES,68115
Ebenezer ES,68112
Effingham County MS,68111
Lucile Erwin Middle School,69349
C K McClatchy HS,69612
Bill Reed Middle School,69351
Piney Grove Middle School,69051
Forsyth Academy,69050
South Forsyth High School,68837
South Forsyth Middle School,68836
Alliance Academy,68835
Forsyth Virtual Academy,68834
Lakeside Middle School,68833
Forsyth Central High School,68832
Elmwood-Murdock Junior High,69334
Elmwood-Murdock High School,69336
Gateway Academy,76420
Elkhorn North High School,68273
Elkhorn High School,68272
Cobalt Institute of Math and Science,67352
Palo Alto Unified,69225
Elkhorn South High School,68271
Greendell,75800
Phony High,72488
Henry M. Gunn High,67196
Ellen Fletcher Middle,67195
Palo Alto High,67194
Frank S. Greene Jr. Middle,67193
Jane Lathrop Stanford Middle,67192
Addison Elementary,71199
River Trails Middle School,69174
Prairie Trails,69212
Indian Grove,69214
Euclid Elementary,69216
Summer School,69218
Southern Door Middle School,62910
Southern Door Elementary School,62911
Southern Door High School,62912
Rural Virtual Academy,62913
Middle School,61461
Mountain View High School,62445
Los Altos High School,62537
Dougherty Valley High School,62761
Monte Vista High School,62762
San Ramon Valley High School,62763
California High School,62768
Three Rivers Homelink School,59333
Pacific Crest Online Academy,59332
Leona Libby Middle School,59331
Rivers Edge High School,59330
Special Education,59329
Richland High School,59328
Hanford High School,59327
Enterprise Middle School,59326
Chief Joseph Middle School,59325
Carmichael Middle School,59324
Enterprise Middle School,71473
Shaker Middle School,61348
Shaker High School,61349
Entir,61205
US,61237
MS,72262
UA Online Academy,60725
Upper Arlington High School,60726
Hastings Middle School,60727
Jones Middle School,60728
Hampshire Senior High School,61139
Grafton High School,60659
Athens Virtual Academy of Indiana,70448
Crawfordsville Middle School,60877
Taylor County Middle School,60658
Crawfordsville High School,60462
Brooke Middle School,60383
Brooke High School,60382
Taylor County Middle School,73243
West Taylor Elementary School,60657
Flemington Elementary School,60656
Anna Jarvis Elementary School,60655
CAMPBELL ISD,63684
Campbell Elementary,63457
Rancho Cotate High School,60406
Campbell High School,60339
Berkeley Springs High School,60664
East High School,58281
Edison Middle School,58282
Washington Middle School,58283
Lombardi Middle School,58285
District Office,58286
Leonardo da Vinci School,58287
Franklin Middle School,58288
Preble High School,58289
Minoka-Hill,71756
Aldo Leopold Community School,58290
Southwest High School,58291
West High School,58292
Red Smith School,58293
Warm Springs Middle School,59360
Elmwood Park Memorial High School,58254
Elmwood Park Memorial Middle School,58255
ClassLink MS,54720
ClassLink Elementary School,54721
ClassLink HS,54719
Lakeville Pathways Academy,76955
CCSD Learning Center,65698
Derby Unified School District 260 - Canvas,76853
Derby Unified School District 260 - Canvas2025-03-20 15:06:29.274,76523
22071-Derby North Middle School,75779
22071-Derby High School,75777
22071-Derby Middle School,75776
Elk Grove High School,60067
Cedar Shoals High School,63422
Clarke Central High School,63421
Hilsman Middle School,63420
Burney-Harris-Lyons Middle School,63419
Coile Middle,63418
Clarke Middle School,63417
Charles Burrell Visual and Performing Arts 9-12,76732
Hinkley High School,76731
Aurora Central Campus,76730
Swarthmore College,76597
Jackson County High School,67115
Empower College and Career Center,67117
Divine Savior Academy High School - Doral,71181
Prince William County Public School UAT,76419
ElectED SupportED,70425
East Jackson Comprehensive High School,67112
West Lafayette Junior / Senior,76291
Centennial High School,59859
Odyssey Early College and Career Options,75596
Palmer High School,70671
Doherty High School,70670
Intersession-AHS,62628
Ben Lomond High School,68392
Charles Burrell Visual and Performing Arts 9-12,76139
Aurora Central High School,76134
