districtId,districtName,schoolId,schoolName,studentcount,teachercount
61008,Montabella Community School District,61009,Montabella Junior/Senior High,44,2
61088,Long Beach Unified School District,70969,Bancroft Middle School,40,1
61088,Long Beach Unified School District,79243,EPHS,4,
61088,Long Beach Unified School District,67768,Holmes Elementary,1,
61088,Long Beach Unified School District,63277,Hughes Middle School,3,
61088,Long Beach Unified School District,61091,Lakewood High School,1,
61088,Long Beach Unified School District,62311,Lindbergh STEM Academy,145,1
61088,Long Beach Unified School District,62309,Marshall Academy of the Arts,171,1
61088,Long Beach Unified School District,61096,Millikan High School,226,2
61088,Long Beach Unified School District,61092,Poly High School,4,
61088,Long Beach Unified School District,78752,Prisk Elementary,2,
61088,Long Beach Unified School District,70873,Stephens Middle School,60,1
61088,Long Beach Unified School District,62314,Tincher Middle School,156,1
61088,Long Beach Unified School District,70970,Washington Middle School,138,1
61172,Snoqualmie Valley School District 410,61173,Mount Si High School,148,2
61172,Snoqualmie Valley School District 410,77581,Parent Partnership,1,
61172,Snoqualmie Valley School District 410,61328,Two Rivers School,2,
61273,Grand Forks School District 1,61274,Grand Forks Central,121,2
61273,Grand Forks School District 1,61275,Red River High School,98,1
61347,North Colonie Central Schools,61349,Shaker High School,986,10
61347,North Colonie Central Schools,61348,Shaker Middle School,684,11
61388,Georgetown Day School,61461,Middle School,243,8
61394,Chesapeake School District,72010,Chesapeake Virtual Academy Middle,26,1
61394,Chesapeake School District,61395,Deep Creek High,32,1
61394,Chesapeake School District,61404,Grassfield High,75,1
61394,Chesapeake School District,61396,Great Bridge High,57,1
61394,Chesapeake School District,61400,Great Bridge Middle,47,1
61394,Chesapeake School District,61402,Hickory High,71,1
61394,Chesapeake School District,61403,Hickory Middle,26,
61394,Chesapeake School District,61401,Hugo A. Owens Middle,29,1
61394,Chesapeake School District,61399,Indian River High,37,1
61394,Chesapeake School District,61397,Oscar Smith High,44,1
61394,Chesapeake School District,61398,Western Branch High,55,1
61428,Napa Valley Unified School District,61429,Unidos Mdl,112,2
61471,Elmbrook School District,61475,Brookfield Central High School,110,2
61471,Elmbrook School District,61472,Brookfield East High School,97,2
61471,Elmbrook School District,61473,Pilgrim Park Middle School,147,2
61471,Elmbrook School District,61474,Wisconsin Hills Middle School,98,2
61674,Placentia Yorba Linda USD,61685,Bernardo Yorba Middle School,263,3
61674,Placentia Yorba Linda USD,61681,Buena Vista Virtual Academy,7,
61674,Placentia Yorba Linda USD,61677,El Dorado High School,759,118
61674,Placentia Yorba Linda USD,61679,Esperanza High School,357,8
61674,Placentia Yorba Linda USD,61683,Kraemer Middle School,219,4
61674,Placentia Yorba Linda USD,61682,Parkview School,1,
61674,Placentia Yorba Linda USD,61686,Travis Middle School,105,2
61674,Placentia Yorba Linda USD,61684,Tuffree Middle School,186,2
61674,Placentia Yorba Linda USD,61675,Valencia High School,664,16
61674,Placentia Yorba Linda USD,61680,Yorba Linda High School,463,10
61674,Placentia Yorba Linda USD,61687,Yorba Linda Middle School,221,2
61709,Cleveland Metro School District,72073,Buhrer Dual Language,,1
61709,Cleveland Metro School District,73534,Campus International,288,1
61709,Cleveland Metro School District,73535,Garfield,26,1
61709,Cleveland Metro School District,72370,Luis Munoz Marin,9,1
61709,Cleveland Metro School District,61710,William Rainey Harper,,1
61851,Milford Area Public Schools,61852,Milford High School,68,1
61907,Eastport-South Manor Ctrl School District,61908,Eastport South Manor Jr-Sr High School,663,7
61951,Salinas Union High School District,61952,Alisal High School,806,5
61951,Salinas Union High School District,61966,El Puente School,16,1
61951,Salinas Union High School District,61954,Everett Alvarez High School,345,3
61951,Salinas Union High School District,73630,Intersession - Migrant,12,1
61951,Salinas Union High School District,61963,La Paz Middle School,47,1
61951,Salinas Union High School District,61957,Mount Toro High School,51,1
61951,Salinas Union High School District,61956,North Salinas High School,282,4
61951,Salinas Union High School District,61969,Rancho San Juan High School,355,4
61951,Salinas Union High School District,61958,Salinas High School,740,7
62008,Fremont Unified School District,62013,American High School,192,2
62008,Fremont Unified School District,62009,Centerville Middle School,67,1
62008,Fremont Unified School District,62011,Irvington High School,143,1
62008,Fremont Unified School District,63452,Thornton Middle School,97,1
62008,Fremont Unified School District,62010,William Hopkins Middle School,119,1
62263,King's Schools (WA),62420,King's Schools,10,2
62360,Mountain View Los Altos Union High School District,62538,Foothill Middle College Program,1,
62360,Mountain View Los Altos Union High School District,62537,Los Altos High School,285,4
62360,Mountain View Los Altos Union High School District,62445,Mountain View High School,240,3
62729,San Ramón Valley USD,62768,California High School,75,1
62729,San Ramón Valley USD,62761,Dougherty Valley High School,131,2
62729,San Ramón Valley USD,62762,Monte Vista High School,85,1
62729,San Ramón Valley USD,62763,San Ramon Valley High School,82,1
62827,Southern Door School District,62913,Rural Virtual Academy,,1
62827,Southern Door School District,62911,Southern Door Elementary School,,
62827,Southern Door School District,62912,Southern Door High School,69,2
62827,Southern Door School District,62910,Southern Door Middle School,109,3
62963,Wayzata School District 284,62964,Wayzata High School,800,11
62969,Demo School District,62978,Maplewood High School (Demo),7,2
62969,Demo School District,62977,Windy City High School (Demo),7,1
62973,Apple Valley Unified School District,76145,Apple Valley High School,63,1
62973,Apple Valley Unified School District,76146,Granite Hills High School,141,1
62973,Apple Valley Unified School District,78262,Summer Session Apple Valley HS,12,
62973,Apple Valley Unified School District,78263,Summer Session Granite Hills HS,26,
62973,Apple Valley Unified School District,76147,Vanguard Preparatory,19,1
63253,Fremont School District 79,63254,Fremont Middle School,43,1
63286,Rowland Unified School District,63287,Nogales High School,111,1
63286,Rowland Unified School District,63288,Rowland High School,61,1
63416,Clarke County School District,65698,CCSD Learning Center,,1
63416,Clarke County School District,63422,Cedar Shoals High School,347,4
63416,Clarke County School District,63421,Clarke Central High School,688,7
63416,Clarke County School District,63417,Clarke Middle School,208,3
63416,Clarke County School District,71920,Classic City High School,,1
63416,Clarke County School District,63418,Coile Middle,26,1
63416,Clarke County School District,63420,Hilsman Middle School,82,1
63555,Liberty Union High School District,63556,Freedom High School,111,1
63555,Liberty Union High School District,63557,Heritage High School,165,1
63555,Liberty Union High School District,68683,Liberty High School,209,1
65331,Davis Joint Unified School District,65336,Da Vinci Charter Academy,197,2
65331,Davis Joint Unified School District,65335,Davis Senior High School,345,3
65331,Davis Joint Unified School District,65333,Emerson Junior High School,237,2
65331,Davis Joint Unified School District,65332,Harper Junior High School,184,2
65331,Davis Joint Unified School District,65334,Holmes Junior High School,364,4
65517,Auburn School District 408,65518,AUBURN HIGH SCHOOL,388,3
65517,Auburn School District 408,65519,AUBURN MOUNTAINVIEW H. S.,351,3
65517,Auburn School District 408,65520,AUBURN RIVERSIDE HIGH SCHOOL,357,3
66023,East Providence City School District,66025,East Providence High School,1014,12
66023,East Providence City School District,66024,Edward R. Martin Middle School,372,2
66023,East Providence City School District,66027,Riverside Middle School,417,2
66052,River Trails School District 26,69216,Euclid Elementary,,
66052,River Trails School District 26,69214,Indian Grove,,
66052,River Trails School District 26,69212,Prairie Trails,,
66052,River Trails School District 26,69174,River Trails Middle School,346,4
66052,River Trails School District 26,69218,Summer School,,
66614,Palo Alto Unified School District - ClassLink,71199,Addison Elementary,,
66614,Palo Alto Unified School District - ClassLink,67195,Ellen Fletcher Middle,144,2
66614,Palo Alto Unified School District - ClassLink,67193,Frank S. Greene Jr. Middle,199,4
66614,Palo Alto Unified School District - ClassLink,75800,Greendell,,
66614,Palo Alto Unified School District - ClassLink,67196,Henry M. Gunn High,685,9
66614,Palo Alto Unified School District - ClassLink,67192,Jane Lathrop Stanford Middle,238,3
66614,Palo Alto Unified School District - ClassLink,67194,Palo Alto High,673,7
66614,Palo Alto Unified School District - ClassLink,69225,Palo Alto Unified,,1
66614,Palo Alto Unified School District - ClassLink,72656,Phony Elementary,,
66614,Palo Alto Unified School District - ClassLink,72488,Phony High,,
67111,Jackson County School District,67112,East Jackson Comprehensive High School,182,3
67111,Jackson County School District,67115,Jackson County High School,444,6
67111,Jackson County School District,68189,Legacy Knoll Middle School,178,1
67111,Jackson County School District,67116,West Jackson Middle School,177,1
67113,Riverside Public School District 96,67114,L. J. Hauser Junior High School,258,4
67314,Elkhorn Public Schools,68272,Elkhorn High School,60,2
67314,Elkhorn Public Schools,68273,Elkhorn North High School,93,1
67314,Elkhorn Public Schools,68271,Elkhorn South High School,92,1
67340,Victor Valley Union High School District,67352,Cobalt Institute of Math and Science,69,1
67897,Prince William County Public Schools,67898,Battlefield High School,,
