districtId,districtName,schoolId,schoolName
"71140","Waukesha School District (WI)","71329","Waukesha STEM Academy - Saratoga"
"71140","Waukesha School District (WI)","71161","West High School"
"77661","Brookfield Public Schools (IL)","",""
"77617","Olathe Unified School District 233","77634","Olathe Advanced Technical Center"
"77617","Olathe Unified School District 233","77626","Olathe East High School"
"77617","Olathe Unified School District 233","77628","Olathe North High School"
"77617","Olathe Unified School District 233","77629","Olathe Northwest High School"
"77617","Olathe Unified School District 233","77631","Olathe South High School"
"77617","Olathe Unified School District 233","77633","Olathe West High School"
"62973","Apple Valley Unified School District","76145","Apple Valley High School"
"62973","Apple Valley Unified School District","76146","Granite Hills High School"
"74852","Oneroster Api Test","",""
"73668","Oxford Community School District","73675","Oxford High School"
"73668","Oxford Community School District","73676","Oxford Middle School"
"72259","New York City Department of Education","",""
"72271","East Rockaway Union Free SD","72287","East Rockaway Jr/Sr High"
"72203","Uniondale School District","72244","Lawrence Road Middle School"
"72203","Uniondale School District","72243","Turtle Hook Middle School"
"72203","Uniondale School District","72242","Uniondale High School"
"71977","Belton Independent School District (TX)","71982","BELTON HIGH SCHOOL"
"71977","Belton Independent School District (TX)","71983","LAKE BELTON HIGH SCHOOL"
"71205","Franklin Towne Charter High School","71206","Franklin Towne Charter High School"
"70550","Department of Defense Education Activity (DoDEA)","70776","Americas - Mid-Atlantic - Albritton Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71702","Americas - Mid-Atlantic - Antilles Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71704","Americas - Mid-Atlantic - Antilles High School"
"70550","Department of Defense Education Activity (DoDEA)","71703","Americas - Mid-Atlantic - Antilles Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71708","Americas - Mid-Atlantic - Bitz Intermediate School"
"70550","Department of Defense Education Activity (DoDEA)","71691","Americas - Mid-Atlantic - Bowley Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71709","Americas - Mid-Atlantic - Brewster Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71714","Americas - Mid-Atlantic - Crossroads Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71706","Americas - Mid-Atlantic - Dahlgren School"
"70550","Department of Defense Education Activity (DoDEA)","71710","Americas - Mid-Atlantic - DeLalio Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71694","Americas - Mid-Atlantic - Devers Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71695","Americas - Mid-Atlantic - Gordon Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71713","Americas - Mid-Atlantic - Heroes Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71693","Americas - Mid-Atlantic - Irwin Intermediate School"
"70550","Department of Defense Education Activity (DoDEA)","71707","Americas - Mid-Atlantic - Johnson Primary School"
"70550","Department of Defense Education Activity (DoDEA)","71692","Americas - Mid-Atlantic - Kimberly Hampton Primary School"
"70550","Department of Defense Education Activity (DoDEA)","70777","Americas - Mid-Atlantic - Lejeune High School"
"70550","Department of Defense Education Activity (DoDEA)","71697","Americas - Mid-Atlantic - Mildred B. Poole Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71715","Americas - Mid-Atlantic - Quantico Middle/High School"
"70550","Department of Defense Education Activity (DoDEA)","71705","Americas - Mid-Atlantic - Ramey School"
"70550","Department of Defense Education Activity (DoDEA)","71711","Americas - Mid-Atlantic - Shughart Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71689","Americas - Mid-Atlantic - Shughart Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71712","Americas - Mid-Atlantic - Tarawa Terrace Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71686","Americas - Mid-Atlantic - West Point Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71688","Americas - Mid-Atlantic - West Point Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71721","Americas - Mid-Atlantic - WT Sampson Elementary/High School"
"70550","Department of Defense Education Activity (DoDEA)","71679","Americas - Southeast - Andre Lucas Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71680","Americas - Southeast - Barkley Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71699","Americas - Southeast - Charles Cotesworth Pinckney Elementary"
"70550","Department of Defense Education Activity (DoDEA)","71700","Americas - Southeast - Charles F Bolden Elementary/Middle"
"70550","Department of Defense Education Activity (DoDEA)","71696","Americas - Southeast - Charles P Murray Elementary School"
