"districtId","districtName","schoolId","schoolName","studentcount","teachercount","purchaseOrderNumber","startDate","expiryDate","totalLicenseCount","licenseConsumeCount","productTitles","rawConsumeUserCount","duplicateUserCount","userCounts"
71205,"Franklin Towne Charter High School",,,,,"PO#2425-000119_FranklinTowneCS_Readers_Teacher12mo","2025-03-26","2025-10-02",6,6,"Todo para todos, Un gol fantástico",6,0,"{""District Admin"":2,""School Administrator"":1,""School Teacher"":3}"
71140,"Waukesha School District (WI)",71165,"Academy Of Health Professions",22,,,,,,,,,,
71140,"Waukesha School District (WI)",71874,"Bethesda Elementary School",,,,,,,,,,,
71140,"Waukesha School District (WI)",71160,"Butler Middle School",2,,,,,,,,,,
71140,"Waukesha School District (WI)",71166,"eAchieve Academy - Wisconsin",244,3,,,,,,,,,
71140,"Waukesha School District (WI)",71875,"eAchieve Elementary",,,,,,,,,,,
71140,"Waukesha School District (WI)",71330,"East Alternative School",,1,,,,,,,,,
71140,"Waukesha School District (WI)",71162,"Horning Middle School",,1,,,,,,,,,
71140,"Waukesha School District (WI)",73472,"Les Paul Middle School",39,1,,,,,,,,,
71140,"Waukesha School District (WI)",71159,"North High School",99,4,,,,,,,,,
71140,"Waukesha School District (WI)",71158,"School District of Waukesha",,1,,,,,,,,,
71140,"Waukesha School District (WI)",71167,"SDW Elementary Summer Academy",,4,,,,,,,,,
71140,"Waukesha School District (WI)",71164,"South High School",102,3,,,,,,,,,
71140,"Waukesha School District (WI)",71163,"Waukesha Eng Preparatory Academy",22,,,,,,,,,,
71140,"Waukesha School District (WI)",71329,"Waukesha STEM Academy - Saratoga",,,,,,,,,,,
71140,"Waukesha School District (WI)",71161,"West High School",268,4,,,,,,,,,
71140,"Waukesha School District (WI)",,,,,"PO#4572500023_Waukesha_Reporteros1-4","2024-08-27","2025-09-30",180,157,"Reporteros 1, Reporteros 2 , Reporteros 3, Reporteros 4",157,0,"{""District Admin"":3,""School Administrator"":2,""School Teacher"":1,""School Student"":151}"
71140,"Waukesha School District (WI)",,,,,"PO#4572500023_Waukesha_RepFrancophones1 ","2024-08-27","2025-09-30",70,21,"Reporters francophones 1",21,0,"{""District Admin"":3,""School Administrator"":1,""School Teacher"":1,""School Student"":16}"
